번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
2258,6급,통치,명사,군사 통치
2259,6급,통쾌하다,형용사,통쾌한 복수
2260,6급,통틀다,동사,모든 것을 통틀어
2261,6급,통풍,명사,통풍 장치
2262,6급,퇴임,명사,정년 퇴임
2263,6급,퇴진,명사,경영진 퇴진
2264,6급,투기01,명사,부동산 투기
2265,6급,투박하다,형용사,손이 투박하다
2266,6급,투병,명사,투병 생활
2267,6급,투입,명사,
2268,6급,투쟁,명사,정치적 투쟁
2269,6급,투정,명사,투정을 부리다
2270,6급,투철하다,형용사,애국심이 투철하다
2271,6급,트다01,동사,싹이 트다
2272,6급,트다02,동사,길을 트다
2273,6급,트림,명사,트림이 나오다
2274,6급,트집,명사,트집을 잡다
2275,6급,특권,명사,특권을 누리다
2276,6급,특수성,명사,지역적 특수성
2277,6급,특질,명사,유전적 특질
2278,6급,특집,명사,특집 방송
2328,6급,평화적01∙ 평화적02,관형사∙ 명사,평화적인 해결
2280,6급,특허,명사,발명 특허
2281,6급,특혜,명사,특혜를 받다
2282,6급,튼튼히,부사,튼튼히 짓다
2283,6급,틀,명사,틀에 넣다
2284,6급,틀어막다,동사,귀를 틀어막다
2285,6급,틀어박히다,동사,방에 틀어박히다
2286,6급,틈새,명사,틈새를 막다
2287,6급,티격태격하다,동사,동생과 티격태격하다
2288,6급,티끌,명사,티끌만큼 작다
2333,6급,폐쇄적01∙ 폐쇄적02,관형사∙ 명사,폐쇄적인 구조
2290,6급,파견,명사,파견 근무
2291,6급,파급,명사,파급 효과
2292,6급,파내다,동사,땅을 파내다
2293,6급,파란만장,명사,
2294,6급,파멸,명사,인류 파멸
2295,6급,파문,명사,파문이 일다
2296,6급,파업,명사,노조 파업
2297,6급,파이프,명사,수도 파이프
2298,6급,파장01,명사,사회적 파장
2299,6급,파헤치다,동사,땅을 파헤치다
2300,6급,판결,명사,판결을 내리다
2301,6급,판명,명사,판명이 나다
2302,6급,판이하다,형용사,판이한 결과
2303,6급,판정,명사,판정을 내리다
2304,6급,판촉,명사,판촉 광고
2305,6급,팔방미인,명사,
2306,6급,팔자,명사,팔자가 기구하다
2307,6급,패04,명사,패를 나누다
2308,6급,패기,명사,젊은이의 패기
2309,6급,패배,명사,패배를 당하다
2310,6급,패자,명사,승자와 패자
2311,6급,패턴,명사,생활 패턴
2312,6급,팽개치다,동사,가방을 팽개치다
2313,6급,팽창,명사,부피 팽창
2314,6급,팽팽하다,형용사,줄이 팽팽하다
2315,6급,퍼붓다,동사,눈이 퍼붓다
2316,6급,펄쩍,부사,펄쩍 뛰다
2317,6급,펄펄,부사,펄펄 끓다
2318,6급,펭귄,명사,펭귄처럼 걷다
2319,6급,편들다,동사,한쪽을 편들다
2320,6급,편입,명사,대학 편입
2349,6급,표면적01∙ 표면적02,관형사∙ 명사,표면적인 관계
2322,6급,평론,명사,소설 평론
2323,6급,평면,명사,평면 텔레비전
2324,6급,평야,명사,평야 지대
2325,6급,평온,명사,마음의 평온
2326,6급,평이하다,형용사,수준이 평이하다
2327,6급,평평하다,형용사,땅이 평평하다
2375,6급,필연적01∙ 필연적02,관형사∙ 명사,필연적인 결과
2329,6급,폐기물,명사,폐기물 처리
2330,6급,폐렴,명사,폐렴에 걸리다
2331,6급,폐막식,명사,올림픽 폐막식
2332,6급,폐쇄,명사,출입구 폐쇄
2391,6급,학문적01∙ 학문적02,관형사∙ 명사,학문적 토대
2334,6급,폐장,명사,폐장 시간
2335,6급,폐해,명사,흡연의 폐해
2336,6급,폐허,명사,폐허가 되다
2337,6급,폐활량,명사,폐활량이 늘다
2338,6급,포부,명사,원대한 포부
2339,6급,포용,명사,상대를 포용하다
2340,6급,폭격,명사,무차별 폭격
2341,6급,폭등,명사,물가 폭등
2342,6급,폭락,명사,주가 폭락
2343,6급,폭로,명사,비리 폭로
2344,6급,폭염,명사,폭염 특보
2345,6급,폭파,명사,폭파 사고
2346,6급,폭풍,명사,폭풍이 불다
2347,6급,폭행,명사,집단 폭행
2348,6급,표류,명사,표류 선박
2418,6급,합법적01∙ 합법적02,관형사∙ 명사,합법적인 절차
2350,6급,표명,명사,사의 표명
2351,6급,표방,명사,민주주의의 표방
2352,6급,표본,명사,표본으로 삼다
2353,6급,표어,명사,불조심 표어
2354,6급,표적,명사,표적으로 삼다
2355,6급,푸근하다,형용사,이불이 푸근하다
2356,6급,푸념,명사,푸념을 늘어놓다
2357,6급,푸대접,명사,멸시와 푸대접
2358,6급,풀03,명사,풀이 죽다
2359,6급,풀어내다,동사,문제를 풀어내다
2360,6급,풀어놓다,동사,개를 풀어놓다
2361,6급,품격,명사,품격을 높이다
2362,6급,품위,명사,품위를 지키다
2363,6급,품종,명사,품종 개량
2364,6급,품행,명사,품행이 단정하다
2365,6급,풋풋하다,형용사,풋풋한 신입생
2366,6급,풍자,명사,사회 풍자
2367,6급,풍조,명사,과소비 풍조
2368,6급,풍족하다,형용사,살림이 풍족하다
2369,6급,풍토,명사,척박한 풍토
2370,6급,피고,명사,피고와 원고
2371,6급,피고인,명사,피고인을 변호하다
2372,6급,피력,명사,의견 피력
2373,6급,피살,명사,피살 사건
2374,6급,피차,명사,피차 마찬가지다
2434,6급,해학적01∙ 해학적02,관형사∙ 명사,해학적으로 묘사하다
2376,6급,필자,명사,필자의 의도
2377,6급,핏줄,명사,핏줄을 찾다
2378,6급,하나같이,부사,하나같이 똑같다
2379,6급,하락세,명사,하락세를 보이다
2380,6급,하루빨리,부사,하루빨리 고치다
2381,6급,하류,명사,하류로 내려가다
2382,6급,하물며,부사,
2383,6급,하반신,명사,하반신 마비
2384,6급,하소연,명사,하소연을 듣다
2385,6급,하염없이,부사,하염없이 기다리다
2386,6급,하위,명사,하위 성적
2387,6급,하인,명사,하인을 두다
2388,6급,하천,명사,하천이 흐르다
2389,6급,학계,명사,학계 전문가
2390,6급,학대,명사,동물 학대
2436,6급,핵심적01∙ 핵심적02,관형사∙ 명사,핵심적인 내용
2392,6급,학살,명사,대량 학살
2393,6급,학술,명사,학술 교류
2394,6급,학식,명사,학식이 높다
2395,6급,한갓,부사,
